Fecha,sku, unidades_vendidas ,precio_unitario,margen,stock,abc
01/01/2021,sku_100, 60 ,0.524886117,0.180363156,188,T
01/01/2021,sku_1002, 20 ,1.27,0.424662205,500,T
01/01/2021,sku_1005, 750 ,4.388612189,0.125116134,3093,A
01/01/2021,sku_1006, 1,130 ,4.20378083,0.191206645,1190,A
01/01/2021,sku_102, 30 ,0.4125713,0.185888597,200,T
01/01/2021,sku_1022, -   ,295.9495,0.324808915,4,A
01/01/2021,sku_1023, 1 ,359,0.204170557,1,T
01/01/2021,sku_1025, 4 ,216.7425,0.274140369,6,T
01/01/2021,sku_1026, 4 ,251.12,0.265096647,4,T
01/01/2021,sku_1028, 3 ,467.1423333,0.158153657,3,T
01/01/2021,sku_103, 30 ,0.519305367,0.171780175,170,T
01/01/2021,sku_1030, 5 ,391.039,0.263386018,7,A
01/01/2021,sku_1032, 5 ,319.4128,0.2869208,5,T
01/01/2021,sku_1033, 2 ,341.172,0.337394637,2,T
01/01/2021,sku_1035, 4 ,89.947,0.358748224,2,S
01/01/2021,sku_1036, 2 ,116.058,0.13146469,2,C
01/01/2021,sku_1039, 7 ,63.327,0.344355488,13,S
01/01/2021,sku_104, 500 ,2.324153126,0.248037068,550,B
01/01/2021,sku_1040, 5 ,72.40394,0.362069708,5,T
01/01/2021,sku_107, 59 ,31.4925,0.23748503,60,A
01/01/2021,sku_1073, 660 ,8.154261712,0.052123119,672,A
01/01/2021,sku_1074, 10 ,11.4095,0.205897191,10,B
01/01/2021,sku_1075, 1,304 ,11.81086656,0.135056092,95,A
01/01/2021,sku_1079, 163 ,10.54795123,0.138051191,844,A
01/01/2021,sku_108, 1,020 ,0.470505119,0.152840247,1020,B
01/01/2021,sku_1081, 757 ,13.49137427,0.201318485,830,A
01/01/2021,sku_1083, 22 ,30.08572727,0.297552563,380,B
01/01/2021,sku_1085, 7 ,73.75588571,0.395086961,40,B
01/01/2021,sku_1086, 11 ,25.88972727,0.162191947,42,C
01/01/2021,sku_1088, 32 ,34.82915625,0.235155747,278,A
01/01/2021,sku_1097, 2 ,55.9455,0.32351249,4,C
01/01/2021,sku_1098, 1 ,75.85,0.294116704,33,C
01/01/2021,sku_1099, 4 ,39.5675,0.188527832,32,S
01/01/2021,sku_1102, (1),6.918041,0.017701398,9,T
01/01/2021,sku_1103, 79 ,15.83152924,0.152335457,645,B
01/01/2021,sku_1104, 4 ,25.4315,0.265301024,45,C
01/01/2021,sku_1106, 299 ,20.10657759,0.159273729,987,A
01/01/2021,sku_1108, 97 ,14.71747423,0.196738936,136,A
01/01/2021,sku_111, 24 ,0.285,0.300280702,660,C
01/01/2021,sku_1111, (2),15.511,-0.254694088,130,A
01/01/2021,sku_1117, 35 ,31.39091571,0.140556515,405,B
01/01/2021,sku_1119, 130 ,16.47721554,0.173859202,130,T
01/01/2021,sku_1124, 83 ,23.1325241,0.279999107,118,B
01/01/2021,sku_1128, 10 ,29.50884,0.219619429,16,B
01/01/2021,sku_1129, 6 ,22.8665,0.240939497,100,B
01/01/2021,sku_113, 10 ,0.29,0.212096552,125,B
01/01/2021,sku_1130, 110 ,19.27079264,0.210066898,113,B
01/01/2021,sku_1131, 42 ,22.26673357,0.2952286,206,B
01/01/2021,sku_1146, 24 ,34.7656875,0.220568154,34,S
01/01/2021,sku_1152, 6 ,54.47325,0.260315843,6,T
01/01/2021,sku_1154, 1 ,108.927,0.361324474,14,C
01/01/2021,sku_1157, 32 ,19.26902813,0.19527519,41,B
01/01/2021,sku_1159, 10 ,28.235,0.160689959,117,B
