COD_SKU,ARTICULO
sku_1,0-1-2111475-3
sku_2,0-1859249-7
sku_3,0203700090
sku_4,0-2111037-1
sku_5,0-2111037-3
sku_6,0-2111039-1
sku_7,0-2111039-3
sku_8,0-2111050-1
sku_9,0-2111050-3
sku_10,0-2111475-2
sku_11,0-2111475-6
sku_12,0-2111475-7
sku_13,0-2111477-1
sku_14,0-2111478-1
sku_15,1.1LS-FTP6-1-BL
sku_16,1.1LS-FTP6-3-WH
sku_17,1.1LS-OC0098
sku_18,1.1LS-UTP6-1-BL
sku_19,1.1LS-UTP6-1-WH
sku_20,1.2LS-EZT-TOOL1
sku_21,1.2LS-FDF-1U-EP-O
sku_22,1.2LS-FDM-LC-DP-12
sku_23,1.2LS-FDP-24-LCDP-W
sku_24,1.2LS-FP-US-1P
sku_25,1.2LS-FP-US-2P
sku_26,1.2LS-FP-US-2PA
sku_27,1.2LS-JC-LC/LC-OM3-3
sku_28,1.2LS-MJSC6A
sku_29,1.2LS-MJUC5E-BL
sku_30,1.2LS-MJUC6-WH
sku_31,1.2LS-PCUC5EBL1
sku_32,1.2LS-PCUC5EBL3
sku_33,1.2LS-PCUC5EGY1
sku_34,1.2LS-PCUC5EGY3
sku_35,1.2LS-PCUC5ERD3
sku_36,1.2LS-PCUC6BL2
sku_37,1.2LS-PCUC6GY1
sku_38,1.2LS-PCUC6GY2
sku_39,1.2LS-PCUC6RD1
sku_40,1.2LS-PCUC6RD2
sku_41,1.2LS-PP24P-EWM
sku_42,10010CBR
sku_43,10020CBR
sku_44,10023ABR
sku_45,10025ABR
sku_46,10030CBR
sku_47,10030FBR
sku_48,10031ABR
sku_49,10032ABR
sku_50,10033ABR
sku_51,10034ABR
sku_52,10035ABR
sku_53,10036ABR
sku_54,10040CBR
sku_55,10041ABR
sku_56,10042ABR
sku_57,10043ABR
sku_58,10044ABR
sku_59,10045ABR
sku_60,10046ABR
sku_61,10060CBR
sku_62,10061ABR
sku_63,10062ABR
sku_64,10063ABR
sku_65,10064ABR
sku_66,10065ABR
sku_67,10066ABR
sku_68,10070CBR
sku_69,10071ABR
sku_70,10072ABR
sku_71,10073ABR
sku_72,10074ABR
sku_73,10075ABR
sku_74,10076ABR
sku_75,10090HBR
sku_76,10090RBR
sku_77,10091GBR
sku_78,10091RBR
sku_79,10092GBR
sku_80,10092RBR
sku_81,10093GBR
sku_82,10093RBR
sku_83,10094GBR
sku_84,10095RBR
sku_85,10096GBR
sku_86,10099R
sku_87,10110CCZ
sku_88,10113ACZ
sku_89,10114ACZ
sku_90,10115ACZ
sku_91,10120CCZ
sku_92,10123ACZ
sku_93,10124ACZ
sku_94,10125ACZ
sku_95,1013
sku_96,1013 LSZH
sku_97,10140CBR
sku_98,10141ABR
sku_99,10142ABR
sku_100,10143ABR
sku_101,10144ABR
sku_102,10145ABR
sku_103,10146ABR
sku_104,10160CBR
sku_105,10170CBR
sku_106,1031A
sku_107,1080-K
sku_108,10971ABR
sku_109,1-1116412-3
sku_110,1-1116698-3
sku_111,1116412-1
sku_112,1116412-2
sku_113,1116412-3
sku_114,1116412-4
sku_115,1-1375055-3
sku_116,11-3S-1-2
sku_117,1-1671365-1
sku_118,1-1859241-0
sku_119,1-1859244-0
sku_120,1-1859249-0
sku_121,1-2111009-1
sku_122,1-2111009-3
sku_123,1-2111011-3
sku_124,1-2111022-3
sku_125,1-2153449-3
sku_126,1-219885-0
sku_127,1-2848025-2
sku_128,1-2848025-3
sku_129,1-2848025-4
sku_130,1-2848025-6
sku_131,1-2848025-7
sku_132,13010CBR
sku_133,13012ABR
sku_134,13013ABR
sku_135,13014ABR
sku_136,13015ABR
sku_137,13016ABR
sku_138,13020CBR
sku_139,13022ABR
sku_140,13023ABR
sku_141,13026ABR
sku_142,13030CBR
sku_143,13032ABR
sku_144,13033ABR
sku_145,13035ABR
sku_146,13036ABR
sku_147,13080CBR
sku_148,13082ABR
sku_149,13083ABR
sku_150,13084ABR
sku_151,13085ABR
sku_152,13086ABR
sku_153,1348876-4
sku_154,1374463-1
sku_155,1374463-5
sku_156,1375055-1
sku_157,1375055-2
sku_158,1375055-3
sku_159,1375055-6
sku_160,1375055-7
sku_161,1375055-9
sku_162,1375155-1
sku_163,1375155-3
sku_164,13751581
sku_165,13751621
sku_166,13751631
sku_167,1375164-1
sku_168,1375191-1
sku_169,1375191-2
sku_170,1375191-3
sku_171,1375191-6
sku_172,1375191-7
sku_173,1427070-2
sku_174,1427071-4
sku_175,1427077-2
sku_176,1427353-2
sku_177,1479154-2
sku_178,1499418-2
sku_179,1499827-7
sku_180,15-38M1-3
sku_181,1592A GREEN
sku_182,1592A RD
sku_183,1592A YL
sku_184,1642A
sku_185,1711077-2
sku_186,1711080-2
sku_187,1711343-2
sku_188,1711816-2
sku_189,1711817-3
sku_190,1725150-6
