fecha,sku,unidades_vendidas,precio_unitario,margen,stock,sabct
01/01/2021,sku_2724,-2,5.8688225,-0.471469821,25,A
01/01/2021,sku_927,-2,10.7273145,-0.308025843,7,A
01/01/2021,sku_931,-2,21.6617925,-0.300284999,143,A
01/02/2021,sku_2724,450,5.490775062,0.319445805,25,A
01/02/2021,sku_927,480,9.764357681,0.230150436,7,A
01/02/2021,sku_931,275,21.66026952,0.23769434,40,A
01/03/2021,sku_2724,220,5.213194532,0.284139587,1275,A
01/03/2021,sku_927,40,10.32014135,0.253287525,386,A
01/03/2021,sku_931,187,21.56133844,0.237906187,218,A
01/04/2021,sku_2724,730,5.359503982,0.303948087,1055,A
01/04/2021,sku_927,20,11.43063225,0.344772349,224,A
01/04/2021,sku_931,214,22.11083723,0.262855159,924,A
01/05/2021,sku_2724,296,5.143867882,0.274098768,325,A
01/05/2021,sku_927,221,10.60559741,0.320292608,60,A
01/05/2021,sku_931,180,21.15653787,0.234082319,600,A
01/06/2021,sku_2724,2170,5.089924333,0.276825546,25,A
01/06/2021,sku_927,-11,10.67172964,-0.359063423,19,A
01/06/2021,sku_931,138,20.42188235,0.210086283,929,A
01/07/2021,sku_2724,855,5.092815696,0.181590782,105,A
01/07/2021,sku_927,-9,10.40998778,-0.345356036,9,A
01/07/2021,sku_931,252,20.24280855,0.203098475,664,A
01/08/2021,sku_2724,-3,5.219628333,-0.267674103,0,T
01/08/2021,sku_927,964,10.79382953,0.420873951,9,A
01/08/2021,sku_931,335,21.12177247,0.115679195,321,A
01/09/2021,sku_2724,500,5.484816,0.255822711,500,T
01/09/2021,sku_927,331,10.69470755,0.286423449,202,A
01/09/2021,sku_931,421,21.20076542,0.118796498,1208,A
01/10/2021,sku_927,55,12.79854545,0.185566354,15,A
01/10/2021,sku_931,255,22.30226408,0.162071889,489,A
01/11/2021,sku_2724,1747,6.146011734,0.245735416,1747,T
01/11/2021,sku_927,37,12.73324324,0.27557121,212,A
01/11/2021,sku_931,24,30.64769375,0.390241427,95,A
01/12/2021,sku_2724,226,6.249769956,0.305863381,50,A
01/12/2021,sku_927,600,13.22283402,0.32521818,12,A
01/12/2021,sku_931,179,29.77982034,0.331270176,179,T
01/01/2022,sku_2724,800,6.117292525,0.306758068,1222,A
01/01/2022,sku_927,325,13.41153197,0.364223558,610,A
01/01/2022,sku_931,11,33.20727273,0.387869588,165,A
01/02/2022,sku_2724,774,6.028100465,0.294248684,1903,A
01/02/2022,sku_927,612,13.12085722,0.364852713,1792,A
01/02/2022,sku_931,-4,20.08375,-0.076448099,4,A
01/03/2022,sku_2724,950,5.704841021,0.284289655,2629,A
01/03/2022,sku_927,215,12.87765865,0.350336607,1085,A
01/03/2022,sku_931,439,28.5204075,0.33010165,439,T
01/04/2022,sku_2724,1220,6.039074574,0.329269915,3469,A
01/04/2022,sku_927,401,12.68557905,0.339923391,1130,A
01/04/2022,sku_931,153,29.02739444,0.343774791,761,A
01/05/2022,sku_2724,715,6.022991497,0.33614466,2249,A
01/05/2022,sku_927,185,12.79341735,0.34548731,747,A
01/05/2022,sku_931,164,29.30950756,0.350091162,568,A
01/06/2022,sku_2724,1951,6.123810487,0.355457628,5930,A
01/06/2022,sku_927,167,13.10446048,0.361022607,515,A
01/06/2022,sku_931,78,28.96790897,0.342427235,371,A
01/07/2022,sku_2724,2140,5.853585252,0.325713929,3975,A
01/07/2022,sku_927,314,13.08076869,0.430782117,331,A
01/07/2022,sku_931,7,27.63168571,0.313084151,145,A
01/08/2022,sku_2724,1724,6.074028016,0.350185579,1821,A
01/08/2022,sku_927,259,12.90805382,0.425999537,2012,A
01/08/2022,sku_931,-3,29.01533333,-0.341455437,87,A
01/09/2022,sku_2724,51,5.466937255,0.278025187,91,A
01/09/2022,sku_927,370,12.89509854,0.419728811,2568,A
01/09/2022,sku_931,1,28.80289,0.34921961,24,A
01/10/2022,sku_927,331,12.62501293,0.407680448,2103,A
01/10/2022,sku_931,-2,24.6482465,-0.415702464,0,T
